navn,km,lokid
Lillestrøm,20.95,0270-02070
Oslo S,0,0010-01000
Dilling,65.34,0560-05170
Hauerseter,49.62,0230-02130
Sand,53.44,0230-02131
Jessheim,44.6,0230-02120
Dal,57.2,0230-02140
Skøyen,4.38,1400-14020
Ski,24.31,0540-05080
Ljan,7.15,0540-05020
Langeland,42.22,0270-02118
Lindeberg,32.39,0230-02100
Spydeberg,20.32,0580-05320
Holmlia hp,9.85,0540-05035
Frogner,29.86,0230-02090
Kløfta,36.38,0270-02110
Jessnes,133.19,0710-07150
Gardermoen,51.85,0270-02260
Bergsvika,162.91,0710-07210
Rudshøgda,148.23,0710-07180
Lysaker,7,1400-14040
Ranheim,560,1340-00004
Vikhamar,566,1340-00004
Arna,461.93,2340-23420
Voss,385.32,2320-23300
Grua,53.39,0620-06120
Grorud,10.5,0220-02020
Nittedal,24.26,0620-06060
Sandvika,14.14,1410-14080
Kopperå,88.3,1210-12150
Steinsrud,107.47,0700-07070
Mo i Rana,497.98,1340-13640
Mosjøen,406.01,1321-13520
Harran,235.79,1320-13350
Skatval,595,1340-00005
Åbogen,112.46,0310-03200
Seterstøa,67.17,0300-03130
Lillestrøm N,20.95,0270-02070
Leirsund,27,0230-00001
Asker,23.83,1410-14130
Eidsvoll,67.86,0280-02160
Steinberg,67,1600-16040
Selsbakk,546.44,1120-11230
Lundamo,514.78,1120-11160
Drivstua,407.12,1110-11040
Hjerkinn,381.74,1100-11020
Bergseng,174.71,0710-07230
Moelv,155.95,0710-07200
Morskogen,84.05,0700-07030
Brumunddal,139.9,0710-07160
Skoppum,100,1510-00007
Sande,73,1510-00003
Drammen,52.86,1420-14210
Kolbotn,12.86,0540-05040
Hakadal,32.07,0620-06080
Oppegård,18.26,0540-05060
Myrvoll,15.72,0540-05054
Bryne,569.3,2220-22230
Hellvik,532.7,2220-22140
Ogna,540.84,2220-22170
Rånåsfoss,45.11,0300-03080
Hamar,126.26,0700-07110
Stange,114.42,0700-07080
Fåberg,191.68,0710-07280
Ottestad,119.25,0700-07090
Ler,520.49,1120-11170
Fagerhaug,441.35,1111-11080
Fokstua,361.65,1100-11002
Kvam,276.57,0721-07400
Darbu,81.61,1650-16280
Vestfossen,75.79,1650-16272
Kongsberg,99.37,1660-16310
Otta,297.24,0721-07430
Minnesund,75.33,0700-07020
Dombås,343.04,0721-07470
Dovre,330.82,0721-07460
Soknedal,486.6,1111-11120
Hovin,507.89,1120-11150
Sel,307.73,0721-07440
Tretten,214.35,0720-07310
Klepp,573.94,2220-22240
Nærbø,561.16,2220-22210
Brusand,544.77,2220-22180
Egersund,525.56,2130-22120
Herefoss,306.03,2120-21170
Fidjetun,313.69,2120-21180
Kobbervik,60.98,1510-14990
Barkåker,109.69,1510-15090
Nykirke,92.75,1510-15060
Spikkestad,37.51,1460-14360
Heggedal,29.34,1460-14320
Nypan,537.11,1120-11210
Ronglan,623,1341-00001
Hell,584,1340-00005
Langstein,603,1341-00001
Harestua,44.03,0620-06100
Midtsandan,571.09,1340-13730
Strømmen,17.93,0220-02060
Alnabru,0,0030-02013
Steinkjer,678,1350-00001
Levanger,637,1341-00001
Bergsgrav,647,1341-00001
Åsen,614,1341-00001
Verdal,649,1341-00002
Stjørdal,588,1340-00005
Skogn,629,1341-00001
Røra,658,1341-00002
Søberg,528.77,1120-11190
Hommelvik,576,1340-00005
Trondheim,552.85,1120-11261
Mære,668,1341-00002
Moss,60.16,0550-05160
Majavatn,321.74,1320-13440
Namsskogan,290.25,1320-13410
Hokksund,70.22,1600-16050
Åndalsnes,457.28,0800-08100
Vinstra,266.6,0720-07390
Fåvang,232.19,0720-07330
Hove,187.75,0710-07252
Gulskogen,55.27,1420-16000
Bryn,3.89,0210-02010
Daler,59.89,1600-16010
Myrdal,335.8,2312-23240
Ål,228.21,2301-23170
Sjoa,286.35,0721-07410
Losna,224.15,0720-07320
Strandlykkja,89.81,0700-07040
Fron,259.26,0720-07370
Melhus,532.09,1120-11200
Ringebu,242.55,0720-07340
Lillehammer,184.18,0710-07250
Trofors,367.24,1321-13480
Agle,190.72,1310-13220
Lønsdal,602.15,1340-13760
Tønsberg,116,1510-00009
Stokke,128.24,1510-15120
Hellerud,6.2,0270-02210
Fauske,674.23,1341-13850
Lørenskog,14.15,0220-02040
Gjøvik,123.83,0640-06260
Rudstad,175.9,0910-09120
Brøttum,168.47,0710-07220
Brennhaug,321.83,0721-07450
Aspedammen,150.12,0570-05480
Halden,136.64,0570-05460
Fredrikstad,94.26,0560-05220
Heimdal,541.41,1120-11220
Garli,477.31,1111-11110
Snåsa,181.64,1310-13210
Lassemoen,254.64,1320-13370
Skollenborg,92.59,1650-16300
Stabekk,8.99,1410-14050
Sørli,110.79,0700-07075
Hønefoss,89.57,0670-16170
Roa,57.74,0620-06130
Bergheim,169.97,2301-23100
Berkåk,466.35,1111-11100
Støren,501.2,1120-11140
Flå,152,2301-23070
Audnedal,419.34,2130-21800
Bjørkevoll,461.48,2130-21850
Rolvsøy,101.04,0560-05245
Snartemo,428.85,2130-21810
Vestby,38.65,0550-05110
Sandbukta,57.187,0550-05135
Tomter,12.89,0580-05300
Mysen,39.47,0580-05360
Sandermosen,15.85,0620-06040
Opphus,213.85,0910-09160
Tolga,368.15,1000-10020
Borgestad,187,1520-00002
Hjuksebø,136.24,1660-18080
Kornsjø,169.12,0570-05510
Sparbu,112.93,1300-00011
Kongsvoll,393.23,1110-11030
Haga,48.87,0300-03090
Mjøndalen,64.03,1600-16020
Hundorp,252.45,0720-07360
Molykkja,79.71,0700-07025
Øyer,203.21,0720-07300
Skotselv,79.78,1610-16080
Moi,477.24,2130-22046
Bø,163.44,2000-20020
Sandvatn,442.19,2130-21820
Larvik,158.66,1510-15190
Lauve,149.8,1510-15160
Oklungen,182.1,1520-15220
Narvik,3.698,2400-24020
Bekkelaget,4.3,0540-05007
Billingstad,17.62,1410-14100
Askim,29.1,0580-05330
Bodø,728.75,1350-13880
Hvalstad,20.19,1410-14110
Høvik,10.72,1410-14060
Jaren,71.92,0630-06160
Skien,181,1520-00001
Grefsen,6.95,0610-06010
Katterat,29.73,2400-24050
Grong,219.54,1310-13250
Krekling,85.76,1650-16290
Ulsberg,455.17,1111-11090
Lunde,177.48,2000-20050
Sira,468.63,2130-22030
Øysteinstul,125.01,1660-16350
Sandnes,583.45,2220-22260
Gjerstad,237.05,2000-21070
Marnardal,402.02,2130-21780
Breland,385.1,2130-21760
Saggrenda,106.67,1660-16330
Eidanger,193.387,1830-15240
Kongsvinger,100.28,0300-03180
Sørumsand,37.53,0300-03050
Fetsund,29.11,0300-03030
Haug,74.01,0560-05185
Kjelsås,10.28,0620-06030
Magnor,133.08,0310-03230
Skotterud,127.27,0310-03220
Vikersund,96,1680-00001
Bjørnfjell,40.42,2400-24060
Rombak,20.85,2400-24040
Venjar,65.7388,0280-02280
Dalane,362.1,2120-21270
Sem,121.06,1510-15110
Bergen,471.25,2340-23510
Vaksdal,440.53,2340-23370
Stanghelle,432.22,2340-23360
Rognan,647.76,1341-13820
Tangen,101.77,0700-07060
Espa,96.99,0700-07050
Oppdal,429.28,1110-11070
Årnes,58.46,0300-03110
Ingedal,126.1,0570-05440
Valebø,156.09,1820-18120
Vigrestad,549.75,2220-22190
Ganddal,580.55,2220-22250
Trengereid,452.41,2340-23390
Kristiansand,365.29,2120-21300
Langemyr,359.96,2120-21260
Holmestrand,86.09,1510-15050
Nordagutu,145.95,1660-18100
Stavanger,598.7,2220-22340
Varhaug,555.77,2220-22200
Tunga,288.89,2311-23215
Flåm,356,2313-23610
Elverum,158.38,0900-09090
Heskestad,491.09,2130-22050
Helleland,511.29,2130-22090
Sarpsborg,109.47,0560-05271
Nelaug,281.41,2000-21130
Porsgrunn,190,1520-00002
Neslandsvatn,220.76,2000-21050
Skorstøl,248.9,2000-21082
Hølen,45.2,0550-05115
Matrand,122.15,0310-03210
Lisleby,97.75,0560-05240
Sandesund,106.64,0560-05260
Nodeland,375.29,2130-21754
Drangedal,204.96,2000-21030
Ualand,498.15,2130-22060
Nakksjø,193.02,2000-21010
Gyland,454,2130-00008
Meheia,113.22,1660-16340
Oggevatn,325.54,2120-21190
Alvdal,324.23,0920-09260
Vegårshei,261.51,2000-21100
Vennesla,350.16,2120-21241
Selåsvatn,272.63,2000-21120
Grovane,345.25,2120-21210
Ås,31.69,0550-05100
Onsøy,86.51,0560-05210
Tøyen,4.405,0610-00001
Skarnes,79.24,0300-03150
Geithus,91,1680-00001
Tyristrand,111,1680-00002
Blaker,41.98,0300-03070
Berg,130.93,0570-05450
Aker,8.72,0210-02018
Sandefjord,139.52,1510-15140
Skjeberg,119.1,0570-05430
Løten,143.78,0900-09070
Sander,87.22,0300-03160
Koppang,246.81,0910-09200
Helldalsmo,289.25,2120-21140
Starrgrasmyra,723,1350-00002
Gvarv,156.49,2000-20010
Stod,697,1350-00001
Storlien,659,1210-00003
Lyser,228.4,2000-21060
Atna,271.78,0920-09220
Disenå,73.35,0300-03140
Tynset,347.21,0920-09280
Galterud,92.37,0300-03170
Os,384.87,1000-10040
Hanestad,285,0920-09230
Røros,399.05,1000-10060
Dale,425.29,2330-23350
Geilo,252.74,2310-23190
Rena,190.38,0910-09140
Gulsvik,140.78,2301-23060
Straumsnes,13.76,2400-24030
Åmot,85.37,1610-16090
Finse,302.1,2311-23220
Nesbyen,185.42,2301-23130
Bjorli,399.84,0800-08050
Asper,40.5,0230-02114
Elnes,34.5,0620-00007
Nordby,46.2,0230-00007
Movatn,19.34,0620-06050
Rygge,69.28,0560-05180
Bøn,62.24,0230-02150
Arendal,317.62,2160-21460
Råde,77.01,0560-05190
Åneby,27.73,0620-06070
Mjølfjell,354.22,2312-23260
Lerkendal,552.85,1120-11261
Hallenskog,31,1460-00002
Gudå,72.02,1210-12130
Gol,202.38,2301-23150
Eina,100.89,0630-06200
Haugastøl,276,2311-00001
Notodden,145.72,1800-18060
Urdland,371.52,2320-23280
Hallingskeid,322.8,2312-23230
Fagernut,309.58,2312-23225
Kråkstad,5.78,0580-05282
Sokna,111.99,1680-23030
Svenningdal,354.49,1321-13470
Marienborg,549,1120-00009
Loenga,1.719,0040-05002
Reimegrend,362.73,2312-23270
Ustaoset,264.67,2310-23200
Ørtfjell,534.63,1340-13660
Veme,100,1680-00001
Hol,241.55,2310-23180
Oteråga,704,1350-13860
Dunderland,543.05,1340-13700
Holm,76.75,1510-15030
