Bane Id;Bane;Banestrekning Id;Banestrekning;Status;Prioritet;Fra Km;Til Km;Delstrekning Id;Delstrekning;LOKSTATUS;LOKFRAKM;LOKTILKM;Stasjonsmidt;STASJON;Stasjon kortnavn;Banesjef;Område;BANEFRAKM;BANETILKM
B33;Alnabanen;240;(Grefsen) - (Alnabru) godsspor;I DRIFT;5;0.928;3.317;0240-00001;(Grefsen) - (Alnabru) godsspor;I DRIFT;0.928;3.317;;USANN;;Oslo;Område Oslokorridoren;0.928;3.317
B33;Alnabanen;250;(Grefsen) - (Alnabru) godsspor;NEDLAGT;5;3.18;3.317;0250-00001;(Grefsen) - (Alnabru) godsspor;NEDLAGT;3.18;3.317;;USANN;;Oslo;Område Oslokorridoren;0.928;3.317
B29;Andre baner;1450;Filipstad stasjon;I DRIFT;4;0;2.478;1450-01030;Filipstad stasjon (delstr.) stasjon;I DRIFT;0;2.478;1.58;SANN;fil;Oslo;Område Oslokorridoren;0;491.2
B29;Andre baner;2341;Minde - (Bergen);IKKE REG;5;487.9;491.2;2341-00001;Sporende - Minde;IKKE REG;487.9;488.027;;USANN;;Bergensbanen Vest;Område Vest;0;491.2
B29;Andre baner;2341;Minde - (Bergen);IKKE REG;5;487.9;491.2;2341-23470;Minde stasjon;IKKE REG;488.027;488.5;488.26;SANN;min;Bergensbanen Vest;Område Vest;0;491.2
B29;Andre baner;2341;Minde - (Bergen);IKKE REG;5;487.9;491.2;2341-00002;Minde - Kronstad;IKKE REG;488.5;489.34;;USANN;;Bergensbanen Vest;Område Vest;0;491.2
B29;Andre baner;2341;Minde - (Bergen);IKKE REG;5;487.9;491.2;2341-23460;Kronstad stasjon;IKKE REG;489.34;489.765;489.63;SANN;kro;Bergensbanen Vest;Område Vest;0;491.2
B29;Andre baner;2341;Minde - (Bergen);IKKE REG;5;487.9;491.2;2341-00003;Kronstad - Fløen (Bergen);IKKE REG;489.765;491.2;;USANN;;Bergensbanen Vest;Område Vest;0;491.2
B29;Andre baner;2342;Tunestveit - Midttun;IKKE REG;5;459.36;481.54;2342-00001;Tunestveit - Midttun;IKKE REG;459.36;481.54;;USANN;;Bergensbanen Vest;Område Vest;0;491.2
B29;Andre baner;2343;Havnebane Vest (Bergen) - Dokken;IKKE REG;5;470.9;472.223;2343-00001;Havnebane Vest Bergen - Dokken;IKKE REG;470.9;472.223;;USANN;;Bergensbanen Vest;Område Vest;0;491.2
B29;Andre baner;2344;Havnebane Nord (Bergen) - Koengen;IKKE REG;5;471.045;472.853;2344-00001;Havnebane Nord Bergen - Koengen;IKKE REG;471.045;472.614;;USANN;;Bergensbanen Vest;Område Vest;0;491.2
B29;Andre baner;2344;Havnebane Nord (Bergen) - Koengen;IKKE REG;5;471.045;472.853;2344-23520;Koengen stasjon;IKKE REG;472.614;472.853;472.853;SANN;koe;Bergensbanen Vest;Område Vest;0;491.2
B17;Arendalsbanen;2160;(Nelaug) - Arendal;I DRIFT;4;282.111;317.73;2160-00001;Nelaug - Arendal;I DRIFT;282.111;317.357;;USANN;;Sørlandsbanen Midt;Område Sør;282.111;317.73
B17;Arendalsbanen;2160;(Nelaug) - Arendal;I DRIFT;4;282.111;317.73;2160-21460;Arendal stasjon;I DRIFT;317.357;317.73;317.62;SANN;adl;Sørlandsbanen Midt;Område Sør;282.111;317.73
B30;Askerbanen;1414;Lysaker - Asker Askerbanen;I DRIFT;1;6.488;36.605;1414-14040;Lysaker stasjon Askerbanen;I DRIFT;6.488;8.327;7;SANN;lys;Oslo;Område Oslokorridoren;6.488;36.605
B30;Askerbanen;1414;Lysaker - Asker Askerbanen;I DRIFT;1;6.488;36.605;1414-00001;Lysaker - Sandvika Askerbanen;I DRIFT;7.961;13.205;;USANN;;Oslo;Område Oslokorridoren;6.488;36.605
B30;Askerbanen;1414;Lysaker - Asker Askerbanen;I DRIFT;1;6.488;36.605;1414-14080;Sandvika stasjon Askerbanen;I DRIFT;13.01;15.36;14.14;SANN;sv;Oslo;Område Oslokorridoren;6.488;36.605
B30;Askerbanen;1414;Lysaker - Asker Askerbanen;I DRIFT;1;6.488;36.605;1414-00002;Sandvika - Asker Askerbanen;I DRIFT;15.36;22.408;;USANN;;Oslo;Område Oslokorridoren;6.488;36.605
