BANE;FRA;TIL;HASTIGHET;BESKRIVELSE;start_dato;START ÅR;START MÅNED;START DAG;slutt_dato;SLUTT ÅR;DAGER;LENGDE;KATEGORI
Østfoldbanen vestre linje;153,25;154,15;80;Lave skjøter;2005-04-04;2005;5;;2005-04-10;2005;7;0,9;SKINNE
Østfoldbanen vestre linje;111,35;111,45;40;Bruarbeider;2005-04-04;2005;;;2005-05-01;2005;28;0,2;ARBEID
Østfoldbanen vestre linje;17,6;17,8;40;Ujustert spor etter innlegging av kulvert;2005-04-04;2005;;;2005-05-08;2005;35;0,2;ARBEID
Østfoldbanen vestre linje;118,83;118,84;80;Bytte av skinneskjøt;2005-04-04;2005;;;2005-05-01;2005;28;0,2;ARBEID
Dovrebanen;231;231,8;80;Ujevnt spor;2005-04-04;2005;;;2005-06-05;2005;63;0,8;UJEVNT SPOR
Dovrebanen;75,5;75,9;40;Bruarbeider;2005-04-04;2005;;;2005-05-29;2005;56;0,4;ARBEID
Dovrebanen;235,37;235,55;80;Ujevnt spor;2005-04-04;2005;;;2005-06-19;2005;77;0,2;UJEVNT SPOR
Kongsvingerbanen;33,1;33,8;40;Arbeider nær spor;2005-04-04;2005;;;2005-05-01;2005;28;0,7;ARBEID
Rørosbanen;160,88;163,02;80;Dårlige sviller;2005-04-04;2005;;;2005-09-11;2005;161;2,14;SVILLE
Rørosbanen;238,65;238,74;40;Dårlig sikt ved plo, Solslyng;2005-04-04;2005;;;2005-11-13;2005;224;0,2;SOLSLYNG
Rørosbanen;342,79;342,81;60;Dårlig sikt ved plo, Solslyng;2005-04-04;2005;;;2006-06-18;2006;441;0,2;SOLSLYNG
Nordlandsbanen;528,7;529,2;60;Sporets tilstand etter avsporing;2005-04-04;2005;;;2005-07-31;2005;119;0,5;SPORETS TILSTAND
Nordlandsbanen;604,8;605,2;40;Fare for ras;2005-04-04;2005;;;2005-04-17;2005;14;0,4;RAS
Nordlandsbanen;432,05;434,11;40;Skade på sviller;2005-04-04;2005;;;2006-07-16;2006;469;2,06;SVILLE
Nordlandsbanen;0;1,3;20;Dårlig spor etter avsporing;2005-04-04;2005;;;2006-04-16;2006;378;1,3;AVSPORING
